,bk_name,2022-03-07,2022-03-04,2022-03-03,2022-03-02,2022-03-01,2022-02-28,2022-02-25,2022-02-24,2022-02-23,2022-02-22,2022-02-21,2022-02-18,2022-02-17,2022-02-16,2022-02-15,2022-02-14,2022-02-11,2022-02-10,2022-02-09,2022-02-08,2022-02-07,2022-01-28,2022-01-27,2022-01-26,2022-01-25,2022-01-24,2022-01-21,2022-01-20,2022-01-19,2022-01-18,2022-01-17,2022-01-14,2022-01-13,2022-01-12,2022-01-11,2022-01-10,2022-01-07,2022-01-06,2022-01-05,2022-01-04,2021-12-31,2021-12-30,2021-12-29,2021-12-28,2021-12-27,2021-12-24,2021-12-23,2021-12-22,2021-12-21,2021-12-20,2021-12-17,2021-12-16,2021-12-15,2021-12-14,2021-12-13,2021-12-10,2021-12-09,2021-12-08,2021-12-07,2021-12-06,2021-12-03,2021-12-02,2021-12-01
0,专业服务,0.2916666666666667,0.4166666666666667,0.625,0.625,0.625,0.625,0.5,0.4166666666666667,0.6666666666666666,0.375,0.5416666666666666,0.25,0.2916666666666667,0.16666666666666666,0.125,0.08333333333333333,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.17391304347826086,0.2608695652173913,0.34782608695652173,0.43478260869565216,0.4782608695652174,0.34782608695652173,0.34782608695652173,0.43478260869565216,0.391304347826087,0.391304347826087,0.43478260869565216,0.5652173913043478,0.5652173913043478,0.6521739130434783,0.6086956521739131,0.5652173913043478,0.5652173913043478,0.391304347826087,0.5,0.45454545454545453,0.5909090909090909,0.6818181818181818,0.5909090909090909,0.5,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6818181818181818,0.5909090909090909,0.45454545454545453,0.5,0.4090909090909091,0.36363636363636365,0.45454545454545453,0.5909090909090909,0.045454545454545456,0.045454545454545456
1,专用设备,0.345,0.495,0.615,0.705,0.68,0.64,0.6733668341708543,0.5125628140703518,0.7688442211055276,0.5577889447236181,0.592964824120603,0.4020100502512563,0.34673366834170855,0.32160804020100503,0.21608040201005024,0.20812182741116753,0.13705583756345177,0.15736040609137056,0.17857142857142858,0.12244897959183673,0.08629441624365482,0.06598984771573604,0.03553299492385787,0.07106598984771574,0.05583756345177665,0.1065989847715736,0.12690355329949238,0.13705583756345177,0.4090909090909091,0.3434343434343434,0.5353535353535354,0.3686868686868687,0.4898989898989899,0.5757575757575758,0.4595959595959596,0.5252525252525253,0.46464646464646464,0.5126903553299492,0.4720812182741117,0.5989847715736041,0.5252525252525253,0.48484848484848486,0.40404040404040403,0.35353535353535354,0.2828282828282828,0.2777777777777778,0.398989898989899,0.4797979797979798,0.4595959595959596,0.41919191919191917,0.494949494949495,0.5808080808080808,0.5151515151515151,0.5177664974619289,0.4619289340101523,0.49238578680203043,0.40609137055837563,0.39593908629441626,0.3147208121827411,0.45918367346938777,0.7128205128205128,0.010256410256410256,0.010256410256410256
2,中药,0.7714285714285715,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.8142857142857143,0.8285714285714286,0.8285714285714286,0.5285714285714286,0.5857142857142857,0.2714285714285714,0.4714285714285714,0.14285714285714285,0.04285714285714286,0.1,0.11428571428571428,0.04285714285714286,0.014285714285714285,0.1,0.08571428571428572,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.17142857142857143,0.2571428571428571,0.38571428571428573,0.7285714285714285,0.8714285714285714,0.7571428571428571,0.9571428571428572,0.9857142857142858,0.9428571428571428,0.9130434782608695,0.9420289855072463,0.9130434782608695,0.9710144927536232,0.9565217391304348,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9428571428571428,0.9428571428571428,0.8571428571428571,0.9142857142857143,0.8714285714285714,0.8285714285714286,0.6571428571428571,0.6857142857142857,0.7571428571428571,0.7101449275362319,0.6285714285714286,0.7142857142857143,0.7428571428571429,0.5428571428571428,0.5428571428571428,0.6,0.7857142857142857,0.02857142857142857,0.014285714285714285
3,互联网服务,0.1893939393939394,0.2878787878787879,0.4621212121212121,0.6136363636363636,0.553030303030303,0.45454545454545453,0.4090909090909091,0.3560606060606061,0.6818181818181818,0.5681818181818182,0.6515151515151515,0.3712121212121212,0.24242424242424243,0.29545454545454547,0.3181818181818182,0.29545454545454547,0.30303030303030304,0.3560606060606061,0.3787878787878788,0.19696969696969696,0.12878787878787878,0.10606060606060606,0.11363636363636363,0.3106060606060606,0.3181818181818182,0.7121212121212122,0.75,0.7424242424242424,0.8560606060606061,0.8409090909090909,0.8787878787878788,0.5378787878787878,0.6212121212121212,0.6136363636363636,0.4696969696969697,0.5757575757575758,0.5303030303030303,0.7348484848484849,0.7651515151515151,0.7803030303030303,0.6793893129770993,0.6287878787878788,0.4772727272727273,0.5378787878787878,0.3484848484848485,0.4090909090909091,0.7045454545454546,0.7803030303030303,0.6818181818181818,0.5454545454545454,0.7045454545454546,0.7803030303030303,0.7575757575757576,0.696969696969697,0.5681818181818182,0.4166666666666667,0.48484848484848486,0.4696969696969697,0.3787878787878788,0.3787878787878788,0.696969696969697,0.007575757575757576,0.0
4,交运设备,0.18604651162790697,0.27906976744186046,0.4418604651162791,0.5581395348837209,0.5348837209302325,0.46511627906976744,0.5813953488372093,0.37209302325581395,0.6976744186046512,0.5116279069767442,0.7209302325581395,0.6511627906976745,0.37209302325581395,0.4186046511627907,0.23255813953488372,0.20930232558139536,0.20930232558139536,0.2558139534883721,0.23255813953488372,0.09302325581395349,0.06976744186046512,0.023255813953488372,0.0,0.023255813953488372,0.023255813953488372,0.11627906976744186,0.16279069767441862,0.23255813953488372,0.627906976744186,0.5116279069767442,0.6744186046511628,0.4418604651162791,0.627906976744186,0.7209302325581395,0.6511627906976745,0.6744186046511628,0.5813953488372093,0.7441860465116279,0.627906976744186,0.6511627906976745,0.6046511627906976,0.5813953488372093,0.46511627906976744,0.5581395348837209,0.5116279069767442,0.46511627906976744,0.6046511627906976,0.5813953488372093,0.6046511627906976,0.4186046511627907,0.5348837209302325,0.6511627906976745,0.627906976744186,0.4883720930232558,0.5348837209302325,0.5581395348837209,0.4186046511627907,0.4883720930232558,0.3953488372093023,0.4883720930232558,0.7441860465116279,0.0,0.0
5,仪器仪表,0.30434782608695654,0.5,0.6304347826086957,0.782608695652174,0.7608695652173914,0.6086956521739131,0.7608695652173914,0.5434782608695652,0.7391304347826086,0.41304347826086957,0.5,0.2826086956521739,0.1956521739130435,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.15217391304347827,0.15217391304347827,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.13043478260869565,0.21739130434782608,0.32608695652173914,0.5434782608695652,0.5217391304347826,0.6304347826086957,0.5434782608695652,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.5434782608695652,0.45652173913043476,0.6304347826086957,0.5869565217391305,0.6521739130434783,0.5869565217391305,0.5869565217391305,0.3695652173913043,0.41304347826086957,0.1956521739130435,0.17391304347826086,0.32608695652173914,0.5217391304347826,0.5217391304347826,0.43478260869565216,0.5217391304347826,0.6956521739130435,0.5652173913043478,0.4782608695652174,0.45652173913043476,0.45652173913043476,0.3333333333333333,0.4,0.26666666666666666,0.4444444444444444,0.8,0.0,0.0
6,保险,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.5,1.0,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
7,光伏设备,0.7209302325581395,0.8604651162790697,0.9069767441860465,1.0,0.9767441860465116,0.9302325581395349,0.9069767441860465,0.8372093023255814,0.8604651162790697,0.46511627906976744,0.32558139534883723,0.20930232558139536,0.3488372093023256,0.11627906976744186,0.09302325581395349,0.09302325581395349,0.09302325581395349,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.20930232558139536,0.11627906976744186,0.18604651162790697,0.2558139534883721,0.23809523809523808,0.2619047619047619,0.11904761904761904,0.09523809523809523,0.14285714285714285,0.2619047619047619,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.07142857142857142,0.09523809523809523,0.11904761904761904,0.11904761904761904,0.09523809523809523,0.21428571428571427,0.38095238095238093,0.21428571428571427,0.16666666666666666,0.16666666666666666,0.11904761904761904,0.07142857142857142,0.17073170731707318,0.04878048780487805,0.07317073170731707,0.0,0.225,0.4,0.325,0.35,0.525,0.4878048780487805,0.35,0.375,0.275,0.3,0.375,0.0,0.025
8,光学光电子,0.11363636363636363,0.23863636363636365,0.42045454545454547,0.5113636363636364,0.48863636363636365,0.38636363636363635,0.4772727272727273,0.3409090909090909,0.6704545454545454,0.29545454545454547,0.375,0.1590909090909091,0.125,0.11363636363636363,0.07954545454545454,0.07954545454545454,0.06818181818181818,0.09090909090909091,0.07954545454545454,0.056818181818181816,0.045454545454545456,0.022727272727272728,0.05747126436781609,0.05747126436781609,0.08045977011494253,0.10344827586206896,0.16091954022988506,0.20689655172413793,0.5057471264367817,0.5057471264367817,0.632183908045977,0.40229885057471265,0.5057471264367817,0.5632183908045977,0.5057471264367817,0.5172413793103449,0.4367816091954023,0.5977011494252874,0.5632183908045977,0.735632183908046,0.6091954022988506,0.632183908045977,0.39080459770114945,0.42528735632183906,0.367816091954023,0.39080459770114945,0.5057471264367817,0.6395348837209303,0.45348837209302323,0.27906976744186046,0.43023255813953487,0.627906976744186,0.6162790697674418,0.5930232558139535,0.5348837209302325,0.5232558139534884,0.4942528735632184,0.26436781609195403,0.14942528735632185,0.27586206896551724,0.6091954022988506,0.011494252873563218,0.011494252873563218
9,公用事业,0.45,0.65,0.7,0.6,0.6,0.55,0.5,0.5,0.85,0.85,0.85,0.85,0.9,0.85,0.55,0.6,0.7368421052631579,0.8421052631578947,0.47368421052631576,0.3157894736842105,0.05263157894736842,0.05,0.05,0.1,0.0,0.0,0.0,0.1,0.3,0.15,0.4,0.2,0.65,0.75,0.65,0.6,0.5,0.6,0.75,0.7,0.55,0.4,0.4,0.3157894736842105,0.5263157894736842,0.6,0.7,0.85,0.85,0.7,0.9,0.95,0.95,0.6,0.7,0.65,0.7,0.65,0.65,0.65,0.7,0.05,0.05
10,农牧饲渔,0.6133333333333333,0.7466666666666667,0.76,0.7733333333333333,0.76,0.49333333333333335,0.49333333333333335,0.4266666666666667,0.6666666666666666,0.6133333333333333,0.68,0.56,0.4533333333333333,0.4266666666666667,0.32432432432432434,0.33783783783783783,0.35135135135135137,0.47297297297297297,0.40540540540540543,0.21621621621621623,0.08108108108108109,0.06756756756756757,0.013513513513513514,0.02702702702702703,0.04054054054054054,0.10810810810810811,0.14864864864864866,0.2972972972972973,0.33783783783783783,0.33783783783783783,0.6891891891891891,0.6216216216216216,0.7027027027027027,0.7972972972972973,0.7027027027027027,0.7297297297297297,0.6486486486486487,0.8108108108108109,0.8783783783783784,0.918918918918919,0.8082191780821918,0.7837837837837838,0.7162162162162162,0.8378378378378378,0.8783783783783784,0.8493150684931506,0.8783783783783784,0.8648648648648649,0.7162162162162162,0.6756756756756757,0.6486486486486487,0.6486486486486487,0.5945945945945946,0.6216216216216216,0.6351351351351351,0.6621621621621622,0.5405405405405406,0.35135135135135137,0.24324324324324326,0.21621621621621623,0.3783783783783784,0.02702702702702703,0.0
11,农药兽药,0.5,0.6,0.7,0.7,0.625,0.6,0.675,0.575,0.775,0.525,0.625,0.575,0.55,0.375,0.35,0.3,0.175,0.325,0.275,0.175,0.05,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.1282051282051282,0.23076923076923078,0.41025641025641024,0.46153846153846156,0.5897435897435898,0.6,0.725,0.825,0.775,0.75,0.725,0.85,0.7692307692307693,0.8461538461538461,0.7435897435897436,0.7435897435897436,0.717948717948718,0.75,0.65,0.625,0.675,0.675,0.6,0.5,0.5,0.6,0.525,0.45,0.5,0.525,0.6,0.525,0.525,0.625,0.8,0.025,0.025
12,包装材料,0.44,0.44,0.56,0.56,0.52,0.48,0.52,0.32,0.6,0.4,0.48,0.24,0.16,0.2,0.12,0.12,0.16,0.24,0.16,0.12,0.12,0.08,0.08,0.08,0.08,0.16,0.2,0.36,0.52,0.4,0.68,0.68,0.68,0.76,0.72,0.76,0.6,0.8,0.72,0.84,0.76,0.76,0.72,0.6,0.6,0.44,0.56,0.76,0.56,0.44,0.44,0.56,0.68,0.6,0.48,0.4,0.44,0.4,0.36,0.48,0.76,0.0,0.0
13,化学制品,0.3023255813953488,0.4461538461538462,0.6692307692307692,0.7153846153846154,0.7,0.6230769230769231,0.6384615384615384,0.5230769230769231,0.7769230769230769,0.6384615384615384,0.6615384615384615,0.5076923076923077,0.4461538461538462,0.4230769230769231,0.2692307692307692,0.2230769230769231,0.25384615384615383,0.3076923076923077,0.3230769230769231,0.25384615384615383,0.16153846153846155,0.1,0.08461538461538462,0.14728682170542637,0.07751937984496124,0.12403100775193798,0.16279069767441862,0.17054263565891473,0.4153846153846154,0.35384615384615387,0.5271317829457365,0.4263565891472868,0.49612403100775193,0.627906976744186,0.4883720930232558,0.5193798449612403,0.4263565891472868,0.5658914728682171,0.5271317829457365,0.6511627906976745,0.6076923076923076,0.5769230769230769,0.5615384615384615,0.5230769230769231,0.38461538461538464,0.2923076923076923,0.4573643410852713,0.49612403100775193,0.4418604651162791,0.3875968992248062,0.4108527131782946,0.515625,0.4645669291338583,0.46875,0.5078125,0.4609375,0.3828125,0.4296875,0.265625,0.4921875,0.71875,0.0234375,0.015625
14,化学制药,0.676923076923077,0.8217054263565892,0.7906976744186046,0.8062015503875969,0.7131782945736435,0.6744186046511628,0.5736434108527132,0.3798449612403101,0.5116279069767442,0.296875,0.3828125,0.20155038759689922,0.13953488372093023,0.13953488372093023,0.08527131782945736,0.06976744186046512,0.03875968992248062,0.07751937984496124,0.06976744186046512,0.05426356589147287,0.03875968992248062,0.03875968992248062,0.03875968992248062,0.046511627906976744,0.05426356589147287,0.12403100775193798,0.20155038759689922,0.3333333333333333,0.4573643410852713,0.5736434108527132,0.7906976744186046,0.7751937984496124,0.7209302325581395,0.7906976744186046,0.7984496124031008,0.7984496124031008,0.751937984496124,0.7906976744186046,0.7829457364341085,0.8449612403100775,0.8527131782945736,0.8449612403100775,0.7906976744186046,0.7364341085271318,0.751937984496124,0.6666666666666666,0.5891472868217055,0.6434108527131783,0.546875,0.4453125,0.328125,0.3671875,0.3671875,0.4296875,0.3359375,0.3828125,0.4140625,0.3125,0.28125,0.3671875,0.625,0.0,0.0
15,化学原料,0.45454545454545453,0.6515151515151515,0.8939393939393939,0.8939393939393939,0.8636363636363636,0.8333333333333334,0.8333333333333334,0.696969696969697,0.9242424242424242,0.8181818181818182,0.8181818181818182,0.7121212121212122,0.6363636363636364,0.5757575757575758,0.3384615384615385,0.3384615384615385,0.36923076923076925,0.4,0.35384615384615387,0.3384615384615385,0.24615384615384617,0.125,0.078125,0.171875,0.140625,0.140625,0.140625,0.1875,0.28125,0.296875,0.390625,0.3230769230769231,0.47692307692307695,0.53125,0.453125,0.453125,0.34375,0.390625,0.34375,0.328125,0.265625,0.234375,0.3125,0.265625,0.25,0.203125,0.390625,0.34375,0.296875,0.21875,0.390625,0.515625,0.4375,0.453125,0.609375,0.59375,0.546875,0.609375,0.59375,0.71875,0.8125,0.015625,0.015625
16,化纤行业,0.25925925925925924,0.4074074074074074,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.6666666666666666,0.48148148148148145,0.8148148148148148,0.8148148148148148,0.8518518518518519,0.5925925925925926,0.4444444444444444,0.4074074074074074,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.2222222222222222,0.18518518518518517,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.18518518518518517,0.1111111111111111,0.2222222222222222,0.48148148148148145,0.48148148148148145,0.7037037037037037,0.5925925925925926,0.8148148148148148,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6296296296296297,0.5925925925925926,0.48148148148148145,0.4444444444444444,0.37037037037037035,0.2962962962962963,0.2962962962962963,0.37037037037037035,0.38461538461538464,0.37037037037037035,0.2962962962962963,0.4074074074074074,0.5185185185185185,0.4444444444444444,0.5185185185185185,0.6296296296296297,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.5925925925925926,0.8518518518518519,0.037037037037037035,0.0
17,化肥行业,0.7307692307692307,0.7307692307692307,0.92,0.92,0.88,0.92,0.96,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.9230769230769231,0.8461538461538461,0.5,0.4230769230769231,0.34615384615384615,0.46153846153846156,0.34615384615384615,0.23076923076923078,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.04,0.0,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.19230769230769232,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.5769230769230769,0.5384615384615384,0.34615384615384615,0.4230769230769231,0.5769230769230769,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5,0.4,0.4230769230769231,0.3076923076923077,0.46153846153846156,0.5384615384615384,0.4230769230769231,0.38461538461538464,0.6153846153846154,0.6538461538461539,0.5384615384615384,0.6153846153846154,0.8846153846153846,0.8461538461538461,0.5769230769230769,0.5769230769230769,0.5384615384615384,0.6923076923076923,0.7307692307692307,0.07692307692307693,0.0
18,医疗器械,0.47058823529411764,0.6764705882352942,0.6470588235294118,0.696078431372549,0.6764705882352942,0.6764705882352942,0.5784313725490197,0.2647058823529412,0.4117647058823529,0.23529411764705882,0.3333333333333333,0.19607843137254902,0.13725490196078433,0.14705882352941177,0.0891089108910891,0.04950495049504951,0.04950495049504951,0.0891089108910891,0.06930693069306931,0.039603960396039604,0.0297029702970297,0.039603960396039604,0.0297029702970297,0.0297029702970297,0.02,0.04,0.07,0.29,0.52,0.58,0.78,0.79,0.74,0.82,0.79,0.79,0.69,0.69,0.54,0.71,0.78,0.76,0.6464646464646465,0.5252525252525253,0.46464646464646464,0.3939393939393939,0.36363636363636365,0.5252525252525253,0.43434343434343436,0.45454545454545453,0.35353535353535354,0.3939393939393939,0.4444444444444444,0.6363636363636364,0.45454545454545453,0.40404040404040403,0.47474747474747475,0.29292929292929293,0.29292929292929293,0.3838383838383838,0.6868686868686869,0.0,0.0
19,医疗服务,0.6111111111111112,0.75,0.6388888888888888,0.8055555555555556,0.8333333333333334,0.8055555555555556,0.8333333333333334,0.3333333333333333,0.5833333333333334,0.2777777777777778,0.3611111111111111,0.25,0.19444444444444445,0.16666666666666666,0.1388888888888889,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.027777777777777776,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.14285714285714285,0.29411764705882354,0.38235294117647056,0.5588235294117647,0.5151515151515151,0.47058823529411764,0.5,0.4411764705882353,0.38235294117647056,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.47058823529411764,0.4117647058823529,0.4411764705882353,0.38235294117647056,0.23529411764705882,0.14705882352941177,0.11764705882352941,0.08823529411764706,0.11764705882352941,0.08823529411764706,0.058823529411764705,0.09090909090909091,0.15151515151515152,0.12121212121212122,0.2727272727272727,0.28125,0.46875,0.5,0.3125,0.28125,0.3,0.36666666666666664,0.0,0.0
20,医药商业,0.7,0.8,0.7333333333333333,0.7,0.5333333333333333,0.4666666666666667,0.4,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.5,0.3,0.1,0.1,0.06666666666666667,0.03333333333333333,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.1,0.23333333333333334,0.3333333333333333,0.36666666666666664,0.8,0.8666666666666667,0.8333333333333334,0.9,0.9,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7,0.5666666666666667,0.6333333333333333,0.6666666666666666,0.6333333333333333,0.6,0.7666666666666667,0.7333333333333333,0.8,0.7,0.7666666666666667,0.8333333333333334,0.6,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.0,0.0
